srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
11.12.18.224,5353,224.0.0.251,5353,udp,-,0.0,152,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,152.0,0.0,0,0,0.0,0.0,1757784966.446796,1757784966.446796,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,29,29,0,0,29,0,,
11.12.7.129,5353,224.0.0.251,5353,udp,-,0.0,683,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,683.0,0.0,0,0,0.0,0.0,1757784966.461103,1757784966.461103,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,30,30,0,0,30,0,,
11.12.4.135,5353,224.0.0.251,5353,udp,-,3.932804822921753,669,0,255,0,0,0,-,1360.8608209608278,0.0,3,0,0.0,0.0,0,0,223.0,0.0,0,0,0.4407285451889038,0.0,1757784966.492119,1757784970.424924,1.9664024114608765,0.0,0.0,0.0,0.0,0,4,0,0,0,0,31,31,0,0,31,0,,
11.12.20.156,5353,224.0.0.251,5353,udp,-,0.0,171,0,1,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,171.0,0.0,0,0,0.0,0.0,1757784966.496227,1757784966.496227,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,32,32,0,0,32,0,,
11.12.5.99,5353,224.0.0.251,5353,udp,-,0.0,87,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,87.0,0.0,0,0,0.0,0.0,1757784966.505936,1757784966.505936,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,33,33,0,0,33,0,,
11.12.3.255,5353,224.0.0.251,5353,udp,-,3.4038918018341064,891,0,255,0,0,0,-,2094.073611904834,0.0,2,0,0.0,0.0,0,0,445.5,0.0,0,0,0.0,0.0,1757784966.512375,1757784969.916267,3.4038918018341064,0.0,0.0,0.0,0.0,0,4,0,0,0,0,34,34,0,0,34,0,,
11.12.3.33,49666,239.255.255.250,1900,udp,-,2.5514941215515137,636,0,1,0,0,0,-,1994.1256995356457,0.0,3,0,0.0,0.0,0,0,212.0,0.0,0,0,0.5216429233551025,0.0,1757784966.552147,1757784969.103641,1.2757470607757568,0.0,0.0,0.0,0.0,0,1,0,0,3,0,1,1,0,0,0,0,,
11.12.18.52,5353,224.0.0.251,5353,udp,-,2.944761037826538,582,0,255,0,0,0,-,1581.1130139905983,0.0,2,0,0.0,0.0,0,0,291.0,0.0,0,0,0.0,0.0,1757784966.583649,1757784969.52841,2.944761037826538,0.0,0.0,0.0,0.0,0,4,0,0,0,0,35,35,0,0,35,0,,
11.12.18.238,55226,239.255.255.250,1900,udp,-,3.4781548976898193,716,0,4,0,0,0,-,1646.850174442927,0.0,4,0,0.0,0.0,0,0,179.0,0.0,0,0,0.9016827910857442,0.0,1757784966.591272,1757784970.069427,1.1593849658966064,0.0,0.0,0.0,0.0,0,1,0,0,0,0,2,2,0,0,0,0,,
11.12.2.196,5353,224.0.0.251,5353,udp,-,2.561643123626709,2705,0,255,0,0,0,-,8447.70288273514,0.0,21,0,0.0,0.0,0,0,128.8095238095238,0.0,0,0,0.3793378766111813,0.0,1757784966.742282,1757784969.303925,0.12808215618133545,0.0,0.0,0.0,0.0,0,4,0,0,0,0,36,36,0,0,36,0,,
11.12.18.133,5353,224.0.0.251,5353,udp,-,0.0013310909271240234,188,0,1,0,0,0,-,1129900.2715385994,0.0,2,0,0.0,0.0,0,0,94.0,0.0,0,0,0.0,0.0,1757784966.74574,1757784966.747071,0.0013310909271240234,0.0,0.0,0.0,0.0,0,1,0,0,0,0,37,37,0,0,37,0,,
11.12.7.142,5353,224.0.0.251,5353,udp,-,2.7412381172180176,582,0,255,0,0,0,-,1698.502574714379,0.0,2,0,0.0,0.0,0,0,291.0,0.0,0,0,0.0,0.0,1757784966.771998,1757784969.513236,2.7412381172180176,0.0,0.0,0.0,0.0,0,4,0,0,0,0,38,38,0,0,38,0,,
11.12.22.76,5353,224.0.0.251,5353,udp,-,0.0,290,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,290.0,0.0,0,0,0.0,0.0,1757784966.855485,1757784966.855485,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,39,39,0,0,39,0,,
11.12.19.34,5353,224.0.0.251,5353,udp,-,0.0,180,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,180.0,0.0,0,0,0.0,0.0,1757784966.85836,1757784966.85836,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,40,40,0,0,40,0,,
11.12.7.180,50282,224.0.0.252,5355,udp,-,0.1396479606628418,134,0,1,0,0,0,-,7676.445792059769,0.0,2,0,0.0,0.0,0,0,67.0,0.0,0,0,0.0,0.0,1757784966.85956,1757784966.999208,0.1396479606628418,0.0,0.0,0.0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,,
11.12.18.202,5353,224.0.0.251,5353,udp,-,4.09218692779541,1346,0,1,0,0,0,-,2631.355847129168,0.0,7,0,0.0,0.0,0,0,192.28571428571428,0.0,0,0,1.328191339769826,0.0,1757784966.865039,1757784970.957226,0.6820311546325684,0.0,0.0,0.0,0.0,0,1,0,0,0,0,41,41,0,0,41,0,,
11.12.5.27,5353,224.0.0.251,5353,udp,-,0.0,87,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,87.0,0.0,0,0,0.0,0.0,1757784966.866278,1757784966.866278,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,42,42,0,0,42,0,,
11.12.4.65,5353,224.0.0.251,5353,udp,-,4.11395001411438,396,0,255,0,0,0,-,770.0628323462951,0.0,4,0,0.0,0.0,0,0,99.0,0.0,0,0,1.072026290625076,0.0,1757784966.875743,1757784970.989693,1.37131667137146,0.0,0.0,0.0,0.0,0,4,0,0,0,0,43,43,0,0,43,0,,
11.12.7.6,5353,224.0.0.251,5353,udp,-,1.0785191059112549,242,0,1,0,0,0,-,1795.0539674160416,0.0,2,0,0.0,0.0,0,0,121.0,0.0,0,0,0.0,0.0,1757784966.936224,1757784968.014743,1.0785191059112549,0.0,0.0,0.0,0.0,0,1,0,0,0,0,44,44,0,0,44,0,,
11.12.20.148,5353,224.0.0.251,5353,udp,-,0.0,486,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,486.0,0.0,0,0,0.0,0.0,1757784966.94236,1757784966.94236,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,45,45,0,0,45,0,,
11.12.18.238,52051,224.0.0.252,5355,udp,-,0.19000697135925293,150,0,1,0,0,0,-,6315.557747252954,0.0,2,0,0.0,0.0,0,0,75.0,0.0,0,0,0.0,0.0,1757784966.95455,1757784967.144557,0.19000697135925293,0.0,0.0,0.0,0.0,0,1,0,0,0,1,1,1,1,0,0,0,,
11.12.20.92,5353,224.0.0.251,5353,udp,-,0.0,472,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,472.0,0.0,0,0,0.0,0.0,1757784966.962019,1757784966.962019,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,46,46,0,0,46,0,,
11.12.5.195,5353,224.0.0.251,5353,udp,-,3.9414968490600586,775,0,255,0,0,0,-,1573.006458568788,0.0,2,0,0.0,0.0,0,0,387.5,0.0,0,0,0.0,0.0,1757784966.995038,1757784970.936535,3.9414968490600586,0.0,0.0,0.0,0.0,0,4,0,0,0,0,47,47,0,0,47,0,,
11.12.6.90,5353,224.0.0.251,5353,udp,-,3.0587310791015625,580,0,255,0,0,0,-,1516.9689260040807,0.0,2,0,0.0,0.0,0,0,290.0,0.0,0,0,0.0,0.0,1757784967.005904,1757784970.064635,3.0587310791015625,0.0,0.0,0.0,0.0,0,4,0,0,0,0,48,48,0,0,48,0,,
11.12.2.86,65384,255.255.255.255,1947,udp,-,0.0,82,0,128,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,82.0,0.0,0,0,0.0,0.0,1757784967.007988,1757784967.007988,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,,
11.12.2.86,65385,11.12.31.255,1947,udp,-,0.0,82,0,128,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,82.0,0.0,0,0,0.0,0.0,1757784967.009149,1757784967.009149,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,1,1,1,1,1,0,0,,
11.12.24.160,5353,224.0.0.251,5353,udp,-,0.0,436,0,255,0,0,0,-,0.0,0.0,1,0,0.0,0.0,0,0,436.0,0.0,0,0,0.0,0.0,1757784967.047374,1757784967.047374,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,49,49,0,0,49,0,,
11.12.4.118,5353,224.0.0.251,5353,udp,-,3.7773830890655518,513,0,1,0,0,0,-,1086.4664513059083,0.0,3,0,0.0,0.0,0,0,171.0,0.0,0,0,0.775363564491272,0.0,1757784967.053382,1757784970.830765,1.8886915445327759,0.0,0.0,0.0,0.0,0,1,0,0,0,0,50,50,0,0,50,0,,
11.12.7.141,5353,224.0.0.251,5353,udp,-,1.9181890487670898,1806,0,1,0,0,0,-,7532.104309158895,0.0,7,0,0.0,0.0,0,0,258.0,0.0,0,0,0.30789396710361133,0.0,1757784967.077411,1757784968.9956,0.31969817479451496,0.0,0.0,0.0,0.0,0,1,0,0,0,0,51,51,0,0,51,0,,
